year,date,mm,period
81,7/15/1981,-25.98072917,1981-2000			
82,7/15/1982,-37.88072917,1981-2000	
83,7/15/1983,-22.28072917,1981-2000	
84,7/15/1984,-21.7140625,1981-2000	
85,7/15/1985,-36.98072917,1981-2000	
86,7/15/1986,-35.18072917,1981-2000	
87,7/15/1987,-33.24739583,1981-2000	
88,7/15/1988,-28.84739583,1981-2000	
89,7/15/1989,-25.14739583,1981-2000	
90,7/15/1990,-22.84739583,1981-2000	
91,7/15/1991,-22.8140625,1981-2000
92,7/15/1992,-20.24739583,1981-2000	
93,7/15/1993,-22.78072917,1981-2000	
94,7/15/1994,-17.98072917,1981-2000	
95,7/15/1995,-15.58072917,1981-2000	
96,7/15/1996,-11.94739583,1981-2000	
97,7/15/1997,-2.647395833,1981-2000	
98,7/15/1998,-10.8140625,1981-2000	
99,7/15/1999,-0.247395833,1981-2000	
00,7/15/2000,2.952604167,1981-2000
